,Unnamed: 0,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number,in_object
0,239,9,8,26395,389.0,220.0,1.0,1.0766981808457012,0.7316636429336031,1.0,0.7307585825027686,0.8355727261334764,221.8373808630077,220.7917570925147,73.79024325749306,28.634262559681968,25.806975801127876,147.58048651498612,151.2189639488154,27.567725654239364,630.0479999999976,0.9868211982428264,0.6893917369235188,0.04938703721202017,0.17060308509111846,0.090140063508113,0.012224185450026495,0.01167436224093282,0.03404290666805086,0.008353044664656225,0.01818720317625418,0.020310266897580743,0.008990980553976898,0.003231582435484031,0.008883240530391594,0.02524112158787238,0.011165603906476246,0.005185792013168839,0.0052389063863289035,0.011472223783785344,0.00862619662827112,0.002530886656180429,0.0007761404219129805,0.005474654649415126,0.00772236256839048,0.006521019407771757,0.0028556323535845925,0.009143981267121036,0.00857901350887048,0.0012578784231616247,0.003045655046977902,0.002457464923709558,20.387090900912877,26.633768256753683,2.3881743103265762,2393.1506402008235,2317.244558244944,159.0551795959473,0.06601052731275557,0.06857404112815857,0.005050736479461193,0.020347900688648224,0.01730373501777649,0.0007629510946571827,0.6425344958152708,2.785630840914314,2.8962405222044336,0.0472114123404026,0.05549706146121025,0.006530861370265485,0.3044174909591675,0.1813229620456696,0.02241550385951996,0.03824970150265082,0.04996954644794312,0.004480627223877254,0.0906668172078357,0.08779104217635703,0.0060259586889921295,0.08570230007171631,0.08624399453401567,0.005767910275608301,0.02999923750758171,0.045120928436517715,0.002822919050231576,0.02999923750758171,0.045120928436517715,0.002777141984552145,0.002948362991106948,0.00164555815535322,0.0006413923903334744,0.03803949567418851,0.02382658128221033,0.0015409464055681904,0.10678263753652573,0.10315098613500596,0.006637674756348133,398.6187171360084,400.904886330988,399.65943564547996,225.0628657015696,226.38525983452027,228.10394597934243,0.0,0.0,0.0,398.2380375071036,225.580488728926,0,410.0,362.0,376.0,226.0,193.0,268.0,0.0,0.0,0.0,8,1.0
1,240,9,9,23043,1921.0,303.0,1.0,1.0016896264134971,0.2592732627256947,1.0,0.7793222402597403,0.8905803979309981,174.0481092469962,175.41094606665797,82.46211251235322,28.45762287452729,25.0,167.0,168.09636089787608,-7.3110595328926955,570.213999999998,0.9883548864440584,0.9469270997180782,0.012985678550378571,0.04839511132312082,0.015406718260891256,0.009414108826009165,0.014544500190073946,0.040091564377150696,0.010904206223590169,0.0044198457522524005,0.004673351740955757,0.009272940898190815,0.002352117894656059,0.029932750227536605,0.005753138955417585,0.0022703349458294236,0.003337035565546715,0.0004173319466590297,0.0040024345678324035,0.0006197290367635004,0.008854377639588611,0.01986660888307695,0.001350550382668848,0.001871152618260848,0.002632153433725155,0.003879098303016073,0.0031921543129413052,0.0016233906097541373,0.000516031197906746,0.0051358740972464855,0.002066781469004304,37.898939441889524,23.954680740833282,4.7736629778519255,3859.4038004837926,2264.1663100458677,420.48761989455664,0.1103532463312149,0.07226672768592833,0.013000686652958391,0.05294117331504822,0.02251468598842621,0.004867628216743468,1.5850413115693058,0.4331782057610176,1.7499333084548296,0.093324176967144,0.05435263738036157,0.011841000989079477,0.34128329157829285,0.16984817385673526,0.03929198160767555,0.0778212308868368,0.04918825614134145,0.009802182706061452,0.16748703729912742,0.09825831315565978,0.01824795468882336,0.1660868227481842,0.1024414449930191,0.017990386113524437,0.06176852062344551,0.045441366732120514,0.007843137718737125,0.06176852062344551,0.045441366732120514,0.007797360420227052,0.008039497950475228,0.0013347183025613355,0.0007504405978405892,0.06302697383678857,0.028879878990071176,0.005891904433036299,0.21583886444568634,0.12076371163129808,0.022720683366060257,1921.6809975386386,1921.440555519864,1920.5774490241288,301.7665417834158,302.98192834003163,301.98175411058725,0.0,0.0,0.0,1921.6664930781585,303.3515167295925,0,1900.0,1907.0,1952.0,287.0,332.0,324.0,0.0,0.0,0.0,9,1.0
2,243,9,12,43319,1695.0,536.0,1.0,1.0142156988049305,0.5098257619896205,1.0,0.7953256100023868,0.8734121402907777,253.03311917995688,254.420911090264,105.80170130957252,38.19656129554063,33.955853692699286,213.01758470795602,217.67874557037803,-12.877124729466596,789.467999999997,0.9873388870528441,0.8517216749160936,0.06591345164659983,0.10577748711636242,0.049871425153950655,0.02295047839719679,0.007096300593962967,0.051564002753028464,0.011503180457011548,0.009403703823007162,0.010546501028173526,0.012004398915488237,0.006427953850128586,0.016688036430995846,0.008105433201732362,0.009551352012388268,0.005959913058012092,0.01797545652278094,0.009263707697289509,0.005888598313245753,0.003153443935511024,0.006835168078399517,0.006915533427405017,0.0015536800495073724,0.0036981594662707892,0.003760647124190513,0.008768992397988753,0.0023600913889798205,0.003326102419825964,0.001885630831865361,0.0010056819892670468,27.743282303214073,33.62760359793901,3.4410315875429665,3586.231756862253,4291.5464146249,297.8946108855307,0.060975052416324615,0.07479972392320633,0.005676356144249439,0.02015716582536697,0.023544669151306152,0.0009918366558849812,1.5584662723003029,2.611949806862768,2.000570286441421,0.05803006142377853,0.05581750348210335,0.007400625851005316,0.21672388911247253,0.19981689751148224,0.02366674318909645,0.040798944563550106,0.04945235823226326,0.0050603405699161256,0.08278657764173349,0.09906845528809298,0.006876765642917213,0.08117799460887909,0.09779506921768187,0.006607156712561846,0.028381781652569767,0.045517660677433014,0.0033722438383847475,0.028381781652569767,0.045517660677433014,0.002746623940765857,0.006189358994213012,0.0015437211740683932,0.0007236727925074012,0.027795888206816617,0.030405118815004763,0.0018404158716534863,0.10130464285612106,0.12205691635608673,0.0076905470341444016,1702.1292616047488,1699.234188081553,1700.6710687951352,538.7318145398767,537.1811438685827,541.3457059050486,0.0,0.0,0.0,1700.6966227290563,539.3452988296128,0,1722.0,1677.0,1673.0,492.0,559.0,572.0,0.0,0.0,0.0,12,1.0
3,245,9,14,45711,521.0,651.0,1.0,1.0351661195534971,0.630091679285825,1.0,0.8083575015915683,0.8651984914737144,273.5903961771693,272.15620514697065,105.00476179678712,38.807437464613415,34.539832078341085,210.0,212.44861972287742,-3.9058885228212143,814.8119999999969,0.989533386009157,0.7854867641001136,0.03357218244736086,0.1439303915020053,0.07812084972630286,0.0066134038475819355,0.01819807767097524,0.055209242796391736,0.015104625928791075,0.0043495179493195,0.009269614786430793,0.01238183406975424,0.005887708911546141,0.00138789054146939,0.018393219926060862,0.013488774435772078,0.0018971856361837745,0.0068346895380279145,0.005131809039337788,0.007504317409346294,0.0005007088346837675,0.007821239468012846,0.015024859019635168,0.006090237829516818,0.001097858631699386,0.002273893297650071,0.0029888805392986354,0.00665936863317579,0.006287974240176275,0.002947513237130009,0.0016308555005540974,35.712535340338945,34.98011758551001,6.198168998584151,6587.217032585293,5845.688505612315,1041.182731717825,0.10568398237228394,0.09843595325946808,0.01574731059372425,0.03779660165309906,0.027649350464344025,0.007141223177313805,3.06211097619752,0.7518073613744053,2.956641275204741,0.06158541142940521,0.05520714074373245,0.011688411235809326,0.3453269302845001,0.2579690217971802,0.07104600965976715,0.050441434096523935,0.04940694574224578,0.008754475986700778,0.1441057301871605,0.12788362769601005,0.022777509389814814,0.14665445685386658,0.13258564472198486,0.02180514298379421,0.03639276698231697,0.045197222381830215,0.006027313880622387,0.03639276698231697,0.045197222381830215,0.006027313880622387,0.0042445301613826935,0.0013610109748396155,0.0008983114414797068,0.05360213551796418,0.041011754096197735,0.00908599333002652,0.1829747408628464,0.15608453750610352,0.03004501387476921,540.1342198608946,537.5622556283735,539.4571498502066,652.1321829709334,651.6971951158965,653.0081160605594,0.0,0.0,0.0,537.2906302640503,650.9961715998337,0,559.0,535.0,515.0,699.0,665.0,687.0,0.0,0.0,0.0,14,1.0
4,247,9,16,24582,973.0,755.0,1.0,1.0386044496571525,0.6388414814442603,1.0,0.7661524076671342,0.7323650515347704,201.6920142569149,206.78491240900533,76.23647421018367,27.980725598027373,24.75883680627989,153.59239529939398,155.16940995137614,84.07397626433678,649.4559999999981,0.9757085020242916,0.7169888205090209,0.02044677339477162,0.18191835547231106,0.06797084345232826,0.004284630194828386,0.0102720287525906,0.059290326023687084,0.003543038034157181,0.0066924862937803465,0.009284188205491784,0.0036154259503509045,0.010866949763011243,0.008329449242163112,0.028031596081064442,0.008932470911825295,0.004029143901855777,0.003085330595820245,0.00403477612971175,0.004697589697834919,0.008827101342613964,0.013386938594966608,0.011582957522842031,0.003019723728553993,0.004607009904271901,0.004708153747829185,0.00448118156909562,0.0044763257146488026,0.002413909727299432,0.002231192313731545,0.004867243105513181,27.67534913495183,28.157702010124922,3.69286647089757,1833.226750984788,1973.5817065611482,199.42930010589768,0.060700390487909324,0.06480506807565689,0.006958113983273506,0.012893874198198318,0.013977266848087307,0.0010376130230724812,3.2902050331329056,1.8542556797232843,4.467506594891688,0.0790264755487442,0.06631571054458618,0.011017014272511005,0.15632867813110352,0.16621652245521545,0.02319371327757836,0.05022749389283454,0.05110290745939188,0.0067021170070736295,0.0745759804322182,0.08028564423403907,0.008112818326657624,0.07325856387615204,0.07791256904602051,0.0079499501734972,0.03657587617635727,0.04426642134785652,0.0038605325389653436,0.03657587617635727,0.04426642134785652,0.0038605325389653436,0.010107264785562516,0.004681190940709121,0.0013651674456614607,0.018597112626465274,0.02054233976603858,0.0016687086128834546,0.08656442910432817,0.09272907674312593,0.009063859470188621,974.2846532186952,974.0278671034764,972.3500702687396,757.5976014977981,759.4950748258044,755.7786429222957,0.0,0.0,0.0,972.3325197298835,760.2461150435277,0,1024.0,977.0,994.0,744.0,761.0,740.0,0.0,0.0,0.0,16,1.0
5,248,9,17,28601,1490.0,750.0,1.0,1.0074497519142838,0.3741102038590789,1.0,0.7808080808080808,0.8839029014326741,198.21644355224697,200.53179299053804,89.62700485902674,31.34915829930057,27.73084924772409,183.14047185816798,183.82280871987618,-88.67037961523752,637.6659999999978,0.9893629901240121,0.8935135447343676,0.029527855238605405,0.08725798635823963,0.02938319670196079,0.015546448092974141,0.030602592916843724,0.05720134480128656,0.012717497759420477,0.01210931176931182,0.0010702835951777873,0.013491272891194995,0.0026195684037298213,0.02810711584467369,0.0017694513565454837,0.009464239208450813,0.005325574455880807,0.0075761478980588765,0.004606917756930556,0.0033953946301428016,0.004161127375278597,0.008641626096735496,0.007829042963473185,0.005409619262330353,0.00028937451433378976,0.0022660277523221853,0.007832242349813423,0.006803465196367109,0.001939775608858416,0.0032205646346362498,0.0030588677859073256,29.2006867043674,27.059845920652148,3.223636287963018,3429.672741901129,2601.191991914064,232.92862155823968,0.08855191618204117,0.07770275324583054,0.006702525541186333,0.027695119380950928,0.013336390256881714,0.0011596856638789175,1.9139428994823264,1.1196596868747024,2.6241662666691195,0.06630045175552368,0.054306857287883765,0.008346685208380222,0.2721599042415619,0.15461966395378113,0.04141298681497574,0.05338333949610128,0.04946955378547011,0.005893302171778826,0.1199144345268043,0.09094758896241613,0.008144072639356655,0.12187381088733673,0.09246966987848282,0.007751583121716976,0.04370183870196343,0.04444953054189682,0.003891050582751632,0.04370183870196343,0.04444953054189682,0.003555352101102472,0.003873119544862127,0.0014917787866013856,0.0009109668566214641,0.039666293419119314,0.020400786891970887,0.002375185628547549,0.14537270367145538,0.10486000031232834,0.009094377048313621,1490.6732846590976,1490.4783874786508,1487.921750263451,750.4089915768756,753.3748847920656,753.4732557253624,0.0,0.0,0.0,1490.2575084787243,752.2772280689488,0,1542.0,1437.0,1487.0,768.0,776.0,746.0,0.0,0.0,0.0,17,1.0
6,249,9,18,26538,1757.0,819.0,1.0,1.029839932733631,0.6148075387290491,1.0,0.743111559139785,0.8723557116532762,206.72598529536853,205.37283169883983,80.72174428244226,29.788601462960983,26.47640458974745,161.44622190936315,163.04006660030413,-47.76068743354524,618.2899999999978,0.9881222772461556,0.8010420322878318,0.011390260581336123,0.13991472132427465,0.07717070411817825,0.005031762116621467,0.010432631779524684,0.06050312861997058,0.020864738704541752,0.011176534357168965,0.002668060518883669,0.0036164094650592256,0.002187099703153184,0.004883060193840499,0.014148999553350966,0.015798029352682458,0.0014114960183302233,0.0033966008511504314,0.005892784286771551,0.003531135620051793,0.0007374701939326412,0.01085478397854955,0.017404880190588456,0.007085825093512231,0.006265837258201961,0.0004714833444663384,0.002961125431079716,0.001380470008139108,0.002391389129829917,0.002278308892023249,0.0005438798613486438,22.646891079843048,26.077027574181557,2.1986725062597543,2672.955858334899,2347.280509058386,168.8053130644839,0.07329671084880829,0.0710078552365303,0.005050736479461193,0.024460211396217343,0.0162813737988472,0.0010681315325200558,0.6144584639129964,0.6755358850316634,2.307463149185024,0.05313191562891007,0.05583276227116585,0.006134126801043749,0.2524605095386505,0.16455329954624176,0.01977569237351417,0.043468121074554784,0.050051876341999146,0.004220100779769202,0.10072182750527164,0.0884497893231738,0.0063608905367580045,0.09991607815027237,0.08818189054727554,0.006042572669684887,0.03508049249649048,0.04559395834803581,0.0030060273129493,0.03508049249649048,0.04559395834803581,0.0027618829626590014,0.0032185098407691163,0.0017833684513297683,0.0005215354834387622,0.03605351335553428,0.02181283508411744,0.0018263525107986831,0.12228579819202424,0.10366979241371156,0.00724803563207388,1756.3412733065188,1756.0388951564914,1754.7211540541903,822.5247156387271,821.2935704132199,823.8313730017876,0.0,0.0,0.0,1756.081769538021,821.9677443665688,0,1741.0,1767.0,1724.0,813.0,850.0,848.0,0.0,0.0,0.0,18,1.0
7,251,9,20,38846,292.0,1012.0,1.0,1.0196839212251858,0.5398261041378998,1.0,0.7743337253573066,0.8573479239837051,242.4676000946738,246.0284536390049,102.41581909060729,36.1376764251534,32.0,206.52178734615052,204.10354236608157,40.21663284273661,754.5699999999972,0.9868156992252002,0.8058521580713847,0.04414019636029577,0.1388498614767041,0.056422188477278125,0.01677216506074958,0.024543342417025674,0.06320392424380658,0.019487052729388343,0.00921494698208759,0.006089190896849821,0.008918057453910543,0.007971415031259844,0.007898772103570859,0.011156364257597315,0.003073426377632855,0.005455339149978584,0.010457521886965492,0.009247652711562516,0.0074884270808631736,0.004143248168993137,0.01064056560628092,0.013581290272562744,0.005514808746209323,0.0025153038465145355,0.0006036406170989514,0.003926537260178286,0.004376377940939777,0.0027885572248346428,0.0030867389475797125,0.0031713966549572173,35.669733744114644,31.846524830907587,6.411383302882314,6536.9525165334335,5493.332023054361,1036.9185974714346,0.09265278279781344,0.08921950310468674,0.01599145494401455,0.06547646224498749,0.047287702560424805,0.009613184258341793,3.064418023429455,1.7263199648262506,2.858096689329862,0.06749065220355988,0.05345235392451286,0.01269550621509552,0.4156557619571686,0.3074387609958649,0.07229724526405333,0.055045885407584316,0.04914587165263516,0.009894110035312213,0.16827865202423506,0.14141306757592445,0.026693059709402115,0.1757686734199524,0.1449607014656067,0.02748149819672108,0.04238956421613693,0.045181963592767715,0.00633249431848526,0.04238956421613693,0.045181963592767715,0.006271458230912685,0.005889861004557824,0.0013925597644722366,0.0012183114342051047,0.07641240224910975,0.0582137810225461,0.011234618503909426,0.2287479937076569,0.18815137445926666,0.035645075142383575,285.0175472949472,285.0191847281402,287.37555846145403,1007.4166900833113,1005.8331572748532,1007.2202792887832,0.0,0.0,0.0,286.229392987695,1004.6020697111672,0,309.0,301.0,293.0,995.0,972.0,994.0,0.0,0.0,0.0,20,1.0
8,252,9,21,21661,1490.0,1024.0,1.0,1.0228389471955657,0.5761992654116357,1.0,0.7366183772019316,0.8607336645045164,183.5580785798969,185.88437266214714,74.02702209328699,26.935015208144282,24.0,151.39446979001755,150.023715131714,48.956261018308076,562.3539999999979,0.9843448228851874,0.7981837113567091,0.038385008792159295,0.14284393992100414,0.06308962727624692,0.004542710232319086,0.003609890242435944,0.06594189199846352,0.012895608679298202,0.010253045384395528,0.01605327562545113,0.008610175611331986,0.004754091448414324,0.0139119470716546,0.015860326366244508,0.01062378132982428,0.007267646547289438,0.011723199512730448,0.0035184882677429525,0.0016462312133502346,0.0032826265369769237,0.002786380577181691,0.014975497122105396,0.002857394210231507,0.005108066013066418,0.002298108894397773,0.002535890631037009,0.006213006247636943,0.0039778641318195355,0.001955155658475996,0.0021603089665695307,16.657053552567962,23.49205772951245,2.459144015563652,1544.0275748241693,2030.5401413366199,136.70988267892972,0.04973296821117401,0.07318226993083954,0.005508507136255503,0.01924925670027733,0.018112458288669583,0.0007324330508708954,1.9603171779348207,2.1473725068275584,1.93603074243252,0.04281681403517723,0.05537499114871025,0.008224613033235073,0.23143358528614044,0.20146486163139346,0.01728847250342369,0.035141463191071635,0.049561303226819516,0.005188067543383232,0.07128145398754301,0.09374175436667836,0.006311337550386857,0.06919203698635101,0.09008926898241043,0.006225680932402611,0.027267871424555785,0.045441366732120514,0.003219653619453311,0.027267871424555785,0.045441366732120514,0.0029602502472698693,0.0028498932569678264,0.0016975325384250288,0.0010027513851731539,0.02666571429737911,0.02872404214613097,0.0012621808686947248,0.08818189054727554,0.10983444005250932,0.006958113983273506,1491.7921236016875,1491.6255362002646,1494.5917899220324,1029.6227707235537,1029.707869913124,1027.0948404264038,0.0,0.0,0.0,1493.5283689580353,1028.712663311943,0,1465.0,1470.0,1486.0,1060.0,1004.0,1008.0,0.0,0.0,0.0,21,1.0
9,253,9,22,42082,1053.0,1233.0,1.0,1.0068792973486531,0.4166525163206048,1.0,0.7926838456901748,0.88599354200401,242.54909576569827,246.454864021792,107.20074626605916,38.05489332745681,33.734255586866,217.0484458616549,220.4930947071529,-60.01073952907576,772.5699999999972,0.9901297601261132,0.8821281942961002,0.015404775749104312,0.09808688367874203,0.036994683137918656,0.006747752139729518,0.010950098204088342,0.06637475989898367,0.018870880676488903,0.017148750589561633,0.002096613578737272,0.0020407175907172764,0.005106492177899512,0.034105623334513016,0.005513121307978757,0.007191918217911978,0.006739992888407514,0.006263653068149838,0.004115738796170153,0.003821637493613039,0.003233847079240757,0.010362994042985772,0.00902067801692963,0.0042188821839623135,0.00584776411931708,0.001935142038375037,0.0050604768102620965,0.0051078166363607005,0.0011728335307061696,0.0004599539392374004,0.0007605235365350757,22.115922873839736,32.94876028969884,3.7304189363494515,3672.0216259341687,5072.796371422708,401.86470302823,0.05589379742741585,0.09280537068843844,0.007293812464922666,0.02563516050577164,0.02551308274269104,0.0020599677227437496,1.793363672373646,0.6240109681443696,1.4573304806854954,0.0470435656607151,0.05499351397156715,0.008010986261069775,0.31284046173095703,0.2254367917776108,0.03515678644180298,0.03315730565793064,0.04939844121394129,0.005592831988529912,0.0872587240609802,0.1205455152184475,0.00954956283038425,0.0793926939368248,0.12416265904903412,0.009216449223458769,0.02610818669199944,0.044037535786628716,0.004074159078299999,0.024460211396217343,0.044037535786628716,0.003646906232461333,0.004341776618432196,0.0015342053572903731,0.0006950014941723863,0.042237267236327584,0.03656734382331274,0.002912015261350725,0.10788891464471816,0.1449301838874817,0.011444266885519028,1051.4135561001262,1053.0409830384767,1052.262026191623,1225.9544564659902,1226.156993485093,1228.0333556799367,0.0,0.0,0.0,1053.0056080984743,1226.7800009505252,0,994.0,1036.0,1115.0,1176.0,1199.0,1247.0,0.0,0.0,0.0,22,1.0
10,255,9,24,43791,682.0,1616.0,1.0,1.000653945334245,0.1917895533577112,1.0,0.7796848571174219,0.8877214506580062,237.90758388771428,239.14012628582432,115.43396380615197,39.27638509887107,34.525353003264144,232.6381310103741,233.49108509035062,-20.484125883343424,787.333999999997,0.9898284396826476,0.95900299430945,0.008537013841101128,0.0385659666418417,0.008557275586182158,0.006841958969706607,0.01045216702394641,0.03406134800472553,0.006519189746288528,0.0030536979560182283,0.0044175780477325646,0.008105318104110115,0.0025445135971961016,0.02812228832556825,0.003993558925043378,0.0021374422070490388,0.0035821602311152624,0.0017672441467323156,0.005429793506893036,0.0016446176939724215,0.004342148542535031,0.02153770321855106,0.0015086285415822375,0.0014954318354096642,0.002850137618744594,0.0022289746077471194,0.0007287317142886071,0.002860723577087144,0.0010130379582442568,0.002699087673868728,0.001776052822020959,32.48392466455698,32.759456876665354,6.228671773802488,5102.804687473923,5389.7148886956265,890.1057954668067,0.06718547642230988,0.07342641055583954,0.012497139163315296,0.045624472200870514,0.043801024556159966,0.007034409791231154,1.5858932693931598,0.4924681767735537,1.4833030542330234,0.057923246175050735,0.05323872715234757,0.011703670024871826,0.3189898431301117,0.2501869201660156,0.05105668678879738,0.04862862973736075,0.049041103108780466,0.0093243589428181,0.11652633389221352,0.12307814136913127,0.0203262267467472,0.1090867444872856,0.12888532876968384,0.01882963255047798,0.04242008179426193,0.044022276997566216,0.00724803563207388,0.04242008179426193,0.044022276997566216,0.007232776377350092,0.003099335212969869,0.0012532942151029394,0.0007657279759826522,0.052792765184765895,0.049025268676019085,0.008533471338361203,0.16128785908222198,0.16707102954387665,0.027222095057368282,682.0544006761418,681.9296306400527,682.1401012441839,1618.836242155964,1617.1926842636462,1618.7493679580045,0.0,0.0,0.0,682.4121394807153,1617.2912242241555,0,661.0,650.0,668.0,1618.0,1635.0,1634.0,0.0,0.0,0.0,24,1.0
11,256,9,25,61249,326.0,1680.0,1.0,1.0283754668704808,0.6080286219382777,1.0,0.7344004796163071,0.8641322459823009,312.98207719519075,311.46428366668306,122.91867230002121,45.219754512043714,40.24922359499622,245.77804550024186,248.48119886811168,33.97127256082378,943.7659999999958,0.9908917362324466,0.8035082920999685,0.02469099622087997,0.1380453308731727,0.0750095575863972,0.007298104327599625,0.004615734520215718,0.060757603625474416,0.019057465560942392,0.008138669261630588,0.00971112464205215,0.006848055991742353,0.00425197784153675,0.00792084053751692,0.015199542736468029,0.014750862780630153,0.004158481512630457,0.005553715331489196,0.005777321787487194,0.0016706209203744035,0.002258441347837893,0.007213685617734445,0.016977377715307603,0.007132188359538669,0.004519499500862136,0.0018656917855016711,0.003270531569456402,0.003962685972781288,0.004390605997924158,0.001658267969018848,0.0003685677515019246,36.37160301208496,38.74706656113268,5.733547053299844,8590.280647143722,8403.778962548822,936.6038368088193,0.06607156246900557,0.07695125043392181,0.009735256433486937,0.06864272058010101,0.05511559545993805,0.005157548934221268,13.921082242997567,10.078924531395582,7.635259044739383,0.05645838007330895,0.05452048406004906,0.010742351412773129,0.4447089433670044,0.2949874103069305,0.040588997304439545,0.04609835616233835,0.04910908309395776,0.007266853046007406,0.14025176977817955,0.1372067946015253,0.015291740874280712,0.13819333910942078,0.13983367383480072,0.014999618753790855,0.03649958223104477,0.04467841610312462,0.004623483866453171,0.03649958223104477,0.04467841610312462,0.004348821472376585,0.004383799921450492,0.0014042487087458286,0.0012212388639523605,0.07473985101428512,0.06015681737459463,0.0060559951090116615,0.20205996930599213,0.1880216747522354,0.01997406035661697,319.2088129066136,323.359623402537,324.8298399632986,1677.7605041862344,1677.7642962548425,1683.3286179202148,0.0,0.0,0.0,332.38781041323125,1682.2449835915686,0,281.0,359.0,360.0,1653.0,1702.0,1690.0,0.0,0.0,0.0,25,1.0
