ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number
1,1,3392,407.0,0.0,1.0,3.381213130915695,0.9862879746873353,1.0,0.6608221313072278,0.2535948124770565,168.30232063091103,176.0113632695344,26.019223662515376,10.312295827168326,9.433981132056603,28.0,27.775508215364997,0.19950161253732382,409.9799999999991,0.908530869157627,0.13940698953330122,0.01485828207438137,0.07052819747622462,0.029543796383300524,0.020883312980125527,0.0070695761799974615,0.02793397673913449,0.028690876186864608,0.013135710724154996,0.01953698454780242,0.01389845068391772,0.0040929486059507175,0.01336368268625976,0.014972304633066213,0.014800627465452623,0.007585695794721802,0.016157485707626994,0.01454163140493836,0.009525322066451049,0.0025954738624186257,0.006769351928939645,0.00541935264961942,0.008827943513026943,0.008552302851694683,0.005086502321297117,0.012612861457791513,0.011576658426127385,0.011045224010390622,0.006625392249240495,0.0017645736139537385,9.896055564284325,13.66312662512064,0.6738689267076552,174.08148358389735,246.662592895329,11.883253280771896,0.04963759705424309,0.07023727893829346,0.0032349126413464546,0.0017090104520320892,0.0022888556122779846,0.0002594033721834421,1.5588416611877818,0.27080992171453716,0.5788448570366468,0.05552757903933525,0.07266346365213394,0.00442511634901166,0.058152131736278534,0.08424506336450577,0.004791332874447107,0.04998007860749659,0.06900569002586182,0.0034033784177154303,0.05132119209430936,0.07271892479225502,0.0035033175945671864,0.051667049527168274,0.07229724526405334,0.0034943160135298967,0.04313725605607033,0.06517127901315689,0.00221255817450583,0.042313266545534134,0.06517127901315689,0.002197299152612686,0.0028840514852024506,0.0014432643187734606,0.000361793353690581,0.002532702354934902,0.0032658047600775683,0.00037642470667073895,0.053177691996097565,0.07496757805347443,0.003753719385713339,399.0756426570463,400.8293788765257,401.2117200779974,10.30371900350343,10.186207602691573,10.362740426960759,0.0,0.0,0.0,400.63295990566036,10.372641509433961,0,356.0,403.0,438.0,1.0,0.0,8.0,0.0,0.0,0.0,1
1,2,50291,2000.0,1.0,1.0,1.367868713771858,0.8750800949031451,1.0,0.7432899793083062,0.48343568448325186,375.9095750368656,401.6889343758426,158.00316452527144,54.22123487045792,47.4236228055175,169.0,181.93201208261127,-4.886462868742444,1143.3539999999973,0.9425291664714426,0.39684476334194424,0.08595413560251203,0.14419063639811056,0.0652063522622802,0.06527313545476565,0.021304258883040737,0.015506450827020768,0.02975409948641575,0.025488238375473354,0.02696197370484304,0.014759173770721352,0.00419228944073026,0.0010476813040298414,0.009957901936425975,0.013554544031019721,0.01230633945312794,0.005112127711310104,0.004365725302563358,0.006939927671019448,0.0006227971078501192,0.001411250595814932,0.010065530613005032,0.007944575654981249,0.009554175957628289,0.006666264437141938,0.009167723576010886,0.005484405434273445,0.0056612508642282615,0.0061367227518594495,0.0016153854913393006,31.360296081751585,46.9037309139967,2.4519875193946064,2585.319650877267,4700.577878810465,194.18381274002604,0.04896620288491249,0.08055237680673599,0.0035400930792093277,0.002273593097925186,0.01271076500415802,0.00032043945975601673,2.0925787446776174,3.8528856942127048,7.123342970607012,0.053025100380182266,0.08628977090120316,0.005493247881531715,0.08546578139066696,0.1268635094165802,0.006698710843920708,0.048024955714780375,0.07182807184379279,0.0037549579163776515,0.05140720309552936,0.09346757628224663,0.0038612040472455517,0.05101091042160988,0.09178301692008972,0.0038452735170722008,0.04299992322921753,0.06511024385690689,0.0019684138242155313,0.04281681403517723,0.06500343233346939,0.001892118714749813,0.0018261038835743358,0.004923237853294606,0.0005663972099644103,0.0032781131505352943,0.015356487508322296,0.0004675948388538334,0.05360494554042816,0.10661478340625763,0.004165713209658861,1998.8503286074551,1998.308698571137,2004.4017466587775,71.19619264346116,68.98925718320629,71.22895745806639,0.0,0.0,0.0,1997.4412121453142,72.74321449165855,0,2055.0,2040.0,1872.0,41.0,4.0,5.0,0.0,0.0,0.0,2
1,3,4883,2573.0,0.0,1.0,2.47760145534269,0.973482345940295,1.0,0.7493861264579497,0.3964981128886768,170.7842319974727,180.00277775634464,36.0,14.926487716679716,13.892443989449804,35.0,39.068968422577456,0.13133323596538898,393.3939999999991,0.9890621835122544,0.1918838522558501,0.030716226051476562,0.09082608790188759,0.036239148670268895,0.03983174799837106,0.01376712531989675,0.0242380658445835,0.03092583381950605,0.014523576825248564,0.03167506035193041,0.024840355096803227,0.007353411558382121,0.004127700241254925,0.00809955223102597,0.012797039129107296,0.007966414159128535,0.019758811082685537,0.021682438622639,0.01492985798397835,0.004569158251638252,0.002773788263085339,0.0022765247343443417,0.0006363350611595317,0.006860852990867476,0.005114216052206276,0.010208025134944192,0.012224090109823815,0.013091250882884193,0.009811927940807898,0.003129347071094886,9.307240422815084,12.827222116291523,0.7646601186133921,368.66123488917947,644.6181741133332,25.180133296409622,0.05680552497506142,0.0883268490433693,0.004486152436584234,0.013389788568019867,0.04161898046731949,0.0006256201304495335,1.9873480338111253,2.569103402012209,1.7392870818204562,0.05709926038980484,0.07402151823043823,0.005844205617904663,0.15672540664672852,0.2385900616645813,0.009277485311031342,0.05058282838486459,0.0697131636754974,0.004155761514203218,0.07549892174670889,0.13201273276947229,0.005156693282082659,0.06777294725179672,0.12725260853767395,0.005050736479461193,0.045334555208683014,0.06540016829967499,0.0028381780721247196,0.045334555208683014,0.06540016829967499,0.002777141984552145,0.002284836930160838,0.0015558129803127211,0.0005407785078089327,0.023278675460116364,0.046222594896956855,0.0008945390032011158,0.08989089727401733,0.17262150347232819,0.0057831695303320885,2568.250137740614,2569.402464239358,2569.498483211197,12.889403715988253,12.675699515486604,13.886003951941179,0.0,0.0,0.0,2568.0628711857466,14.867909072291624,0,2558.0,2586.0,2576.0,0.0,0.0,8.0,0.0,0.0,0.0,3
1,4,25260,3063.0,0.0,1.0,1.3633093675998476,0.8696103247918137,1.0,0.7024471635150167,0.5833014591074666,264.97961122500425,289.0432493589843,119.50313803411188,40.62255892161697,35.73513677041127,123.0,130.83068317457403,4.060405915372382,737.6919999999977,0.9771760154738878,0.38496194790905863,0.1320104857547638,0.09238774485783753,0.032489821865290425,0.08651783862857808,0.02959739785883648,0.03288350683981767,0.0009931882924645247,0.007103345952783336,0.01236002549938664,0.023844823920223492,0.011281628217358054,0.003013762625609886,0.013014289647093375,0.005291567586617537,0.004043367813652338,0.010096801879791175,0.009464007145673713,0.01441004781068398,0.004630410230905197,0.008318335849893544,0.009999204910076982,0.0021526342074428204,0.003422121056888377,0.0036080924665846904,0.010954576695089683,0.009161540825503644,0.00784277347687433,0.008827474037277424,0.002724363129381846,23.9163043089211,25.699076928198338,1.646921525709331,2142.607998237014,2503.5387067347765,129.9697441039607,0.07093919068574905,0.0795147642493248,0.004531929735094309,0.012939654290676117,0.018265053629875183,0.0005951016210019588,3.054366248219893,3.551395121068863,4.028493792776951,0.06906232982873917,0.07324330508708954,0.007248035632073879,0.11905089020729065,0.14547951519489288,0.008514534682035446,0.06411877830809946,0.06889832956621539,0.004415339211016973,0.0848221693680528,0.09911079599108379,0.005145278863973107,0.08241397887468338,0.0955977737903595,0.005111772567033768,0.05989165976643562,0.06504920870065689,0.0029297322034835815,0.05906767398118973,0.06483558565378189,0.0027161058969795704,0.0017371324350530766,0.0013710765815955065,0.000652033705099285,0.015163182466211778,0.02157469091348043,0.000820051059582288,0.09845121204853058,0.11827267706394196,0.0057068741880357265,3060.6671457217076,3060.7428184688188,3060.159404222399,48.040500849246946,47.54891528640868,47.05045997883617,0.0,0.0,0.0,3060.324386381631,51.0755740300871,0,3069.0,3092.0,3010.0,8.0,30.0,2.0,0.0,0.0,0.0,4
1,5,1,3235.0,4.0,1.0,0.0,0.0,1.0,1.0,0.7853981633974483,0.095,0.0,1.0,1.0,1.0,0.0,0.095,0.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.0,0.0,0.0,0.0,0.0,0.0,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.06173800304532051,0.07109178602695465,0.005340657662600279,0.0,0.0,0.0,0.0,0.0,0.0,0.06173800304532051,0.07109178602695465,0.005340657662600279,3235.0,3235.0,3235.0,4.0,4.0,4.0,0.0,0.0,0.0,3235.0,4.0,0,3235.0,3235.0,3235.0,4.0,4.0,4.0,0.0,0.0,0.0,5
1,6,9662,3406.0,0.0,1.0,3.489549701419759,0.982821994051488,1.0,0.4692113442113442,0.183848093031369,287.536177664727,312.9632566292727,43.382023926967726,13.72668901418912,12.165525060596439,65.0,53.06653527482942,1.7779276021498336,812.6599999999976,0.7541367467998751,0.125574234804297,0.014093985364535,0.06741406667720973,0.027244877933873136,0.0030067879811113947,0.008845814281763693,0.034673431068595745,0.027276182155942658,0.012932461785259405,0.008536580140273859,0.006232182529405225,0.005481644015837717,0.026110598950622718,0.015420766811446662,0.017027289119582283,0.00742555545994321,0.006629291782246573,0.002155540368300832,0.005914533634908565,0.0035497123930972566,0.017447163840307676,0.010909245050564079,0.011965863875888676,0.011106509071828826,0.004740533793146541,0.005818801508466192,0.0018591439649259267,0.0025261953883326934,0.0046553391416084625,0.0024087401876625872,29.80469984188676,34.750209882855415,2.80444042570889,696.2712757177651,842.2936148718,63.44397758459672,0.059555962681770325,0.07248035073280334,0.005416953004896641,0.010742351412773132,0.00807201862335205,0.0009002820588648319,3.583225391042924,1.3344919324487527,0.8497782674589444,0.1104905754327774,0.11931028962135315,0.01095597818493843,0.11575493961572647,0.13165484368801117,0.011657892726361752,0.06851655136065922,0.07988553996058716,0.006446989484388253,0.07206285196830522,0.08717590714880977,0.006566340052224873,0.06642252206802368,0.0786449983716011,0.006134126801043749,0.045304037630558014,0.0644235908985138,0.0038452735170722008,0.04481574892997742,0.0644235908985138,0.0035553521011024714,0.01811808143939867,0.018461856263494905,0.0017359071823453505,0.018067673001890334,0.01844839672678303,0.0015128436096891232,0.08424506336450577,0.10286106914281845,0.007522698026150465,3440.367653041841,3442.684001715759,3444.767478990875,19.238719248300256,19.21532412950742,19.703994973198366,0.0,0.0,0.0,3443.91792589526,19.723556199544607,0,3448.0,3448.0,3475.0,0.0,7.0,31.0,0.0,0.0,0.0,6
1,7,216889,4395.0,0.0,1.0,1.2500349815900242,0.8300294482693084,1.0,0.7601658500339972,0.5768569898329873,723.9702354188787,734.7006193001337,345.0637622237374,119.11716364344514,105.26157893552613,392.0,403.77236595329765,3.0512361961711623,2173.6500000000005,0.9708853903210931,0.5047892777387818,0.10963791284128456,0.1386393930550994,0.06009226759817267,0.0737007480875886,0.021773151280207077,0.017821390227518955,0.0250107640458009,0.027121902644600602,0.007190056965605713,0.013505195197781799,0.0022848365455448755,0.015817595641342896,0.007537904797473559,0.017755879899925393,0.011550064337597364,0.010181083579763849,0.00866706051365281,0.004274858374320662,0.0038680231812319435,0.015451573979145343,0.014365745832421731,0.005291274269016057,0.008217151094138692,0.004008897783260649,0.005021905577002141,0.004491260240762681,0.00456052103842758,0.003279481572040504,0.006031666912400685,50.282871870324016,84.42905341088772,3.649057755479589,18161.71957521327,32648.37546339631,1133.413139918819,0.05413901060819626,0.09369039535522461,0.0036774242762476206,0.026214998215436935,0.047837041318416595,0.0013427939265966415,20.828483679889434,23.334684929582362,18.50200232055309,0.049729153513908386,0.07360952347517014,0.004486152436584234,0.1603417992591858,0.32146182656288147,0.011718928813934326,0.04104724234312165,0.0689216762537859,0.0029788226575343585,0.08373739366778983,0.15053034254109848,0.005225775119617957,0.07672236114740372,0.13441672921180725,0.004806592129170895,0.031128404662013054,0.0646219551563263,0.0017242694739252329,0.031128404662013054,0.0646219551563263,0.0016632333863526583,0.003660975951931859,0.0014198797289019251,0.0003650511054296908,0.03351588900029276,0.06516967206567806,0.001831136207592225,0.1109025701880455,0.19984741508960724,0.006622415501624346,4406.024206403124,4397.571727969814,4394.843717994219,147.17232145934224,139.56048540803567,143.8928359567475,0.0,0.0,0.0,4391.485981308411,162.08760702479148,0,4458.0,4350.0,4457.0,104.0,0.0,153.0,0.0,0.0,0.0,7
1,8,34531,0.0,73.0,1.0,1.0457368779481127,0.48513852613685254,1.0,0.7347802957761465,0.46321750396730654,227.8048880326207,247.8790027412568,122.41323457861898,47.15904463014972,44.14748010928823,194.0,199.20109367034559,76.16417423921396,967.8699999999975,0.9422727954920661,0.6568410184459198,0.08751722519816893,0.18238010979093167,0.01877096598843493,0.014404247764803944,0.034422213689759576,0.03976516487050378,0.029573018162362488,0.012896658173694403,0.030109241258431237,0.013419404752378204,0.004942372936363008,0.0015352799327041703,0.004425881013666449,0.003735641844169175,0.004844351360606796,0.00447669103072454,0.005328412356223798,0.005979554534812666,0.007031769211391422,0.004466863954211252,0.017640209815313536,0.011161814590712159,0.0016512039047173173,0.0036533527519574294,0.006191880268899379,0.0039482340107765785,0.002554791034319317,0.007202210395068898,0.004275722658388902,32.761425267905,37.63938356935978,2.122529980028048,2568.156835962087,3224.6026436686516,146.08334782812744,0.0640573725104332,0.07344166934490204,0.003921568859368563,0.00621042400598526,0.008087284862995148,0.0003051804378628731,8.494817914028518,14.511004476734348,0.7085413037841886,0.06744487583637238,0.07661554962396622,0.005035477224737406,0.1270618736743927,0.21246662735939026,0.006286717019975185,0.060557163156940846,0.06957372193966688,0.003923345619275505,0.07437250111384225,0.09338283408151087,0.004230498619447089,0.06910811364650726,0.0794537290930748,0.004226749297231436,0.05569542944431305,0.0639810785651207,0.0026245517656207085,0.054871443659067154,0.0639810785651207,0.0024414435029029846,0.001951215244685716,0.0019263590224305124,0.0003894955897372101,0.014489411866149387,0.03117031311904032,0.00044805145762781713,0.0801556408405304,0.10033188201487064,0.004531929735094309,77.85058036472742,73.1815656816009,83.74515866242727,102.2651959353826,98.44772153493531,107.53166755801871,0.0,0.0,0.0,83.90747444325389,108.22136630853436,0,4.0,10.0,56.0,48.0,51.0,41.0,0.0,0.0,0.0,8
1,9,123380,5396.0,0.0,1.0,1.1470098242167042,0.7416576880579288,1.0,0.728851606805293,0.6166408580107064,497.4035810833959,544.3978324718055,230.4886114323222,86.40128878101066,77.38862965578342,319.0,333.64765681570157,9.456865027637253,1585.6639999999952,0.9783522321782573,0.5291359281045468,0.12742926438869545,0.146615445788091,0.06771802173849487,0.05157511527154447,0.007412732487618907,0.00624595216863531,0.020853917924492614,0.014441224851131087,0.015878148186182446,0.015976606281009487,0.007757508620990229,0.004837306565418772,0.019416500202966147,0.018210977060175628,0.004331687669667851,0.01550342991775158,0.00515899595250965,0.011470058317009922,0.006535628453447685,0.0010094294540584563,0.008270841663363993,0.006609382330827845,0.0053501077211397146,0.00048729792211420756,0.007637595361952509,0.0014475075985061986,0.006402472451299607,0.008238060118370583,0.0035041732502544064,38.57079424709082,61.80398265272379,2.4873121231794357,7790.526082213968,12811.702140003443,458.5061473327223,0.051453422755002975,0.08220034837722778,0.00317387655377388,0.011505302041769028,0.02070648968219757,0.0005340657662600279,7.569019466227313,9.104265103687982,3.7674630776314832,0.04950026795268059,0.07376211136579514,0.004074159078299999,0.0948805958032608,0.1590295284986496,0.006530861370265484,0.04304776143648529,0.06897765921062923,0.002776017994619906,0.06314253592327743,0.10383937542554257,0.0037162112768092262,0.06179903820157051,0.10064850747585297,0.0036774242762476206,0.035538263618946075,0.0642404854297638,0.0017090104520320892,0.03520256280899048,0.0638284906744957,0.001235980773344636,0.0025386851697417204,0.0015410517128835802,0.000384086918356016,0.013541134249816426,0.024140996765728215,0.0007339734373479383,0.07499809563159943,0.1250476837158203,0.004242008086293936,5422.680602751583,5420.478247980014,5420.846380237974,130.08592736104515,126.99903745590191,133.87650943619093,0.0,0.0,0.0,5417.496936294375,135.60132922677906,0,5459.0,5439.0,5464.0,94.0,64.0,105.0,0.0,0.0,0.0,9
1,10,60517,2253.0,179.0,1.0,1.0156550111812777,0.4939825472028871,1.0,0.7007932372184587,0.697215181538899,297.9080895716393,308.1509370422229,127.67536959022284,44.55236638262191,39.21734310225516,257.18804337521686,259.02268836742627,31.180228891775666,1044.3839999999961,0.9752548245437331,0.8114476818848303,0.021717466474499163,0.14152985481133318,0.0468079732244444,0.010405858605195764,0.02044362219333677,0.07418956081093343,0.01239322520750065,0.006139995441708173,0.009331203212586067,0.00735019418534408,0.00691068730937628,0.019227713864734673,0.010399627593585294,0.007243965167827116,0.011100484156151825,0.006650866899478906,0.009166102567357119,0.0064323866561470594,0.004770898972097045,0.006932146715439178,0.01348757278457094,0.0029179735615606573,0.0009126194619296262,0.004288419768646842,0.004581211979428497,0.0028477647965698158,0.004323436797171701,0.0024281195299408003,0.0007094484084940242,45.77657750248909,62.36641505360603,3.7084459441248327,6159.255593813956,10832.013705253601,393.7351253645029,0.06152437627315521,0.0940718725323677,0.004821850918233395,0.03308918699622154,0.07924772799015045,0.0013504235539585352,8.699736935126927,8.965601793045483,4.903987364852708,0.061158161610364914,0.08458075672388077,0.005615320056676865,0.3461356461048126,0.3968566358089447,0.02514686807990074,0.0523759467991866,0.07135745429474374,0.004243073162614225,0.10177727900943463,0.17899125378412017,0.006506190415329624,0.08985275030136108,0.165079727768898,0.005928130121901631,0.04603647068142891,0.0642862617969513,0.0030518043786287308,0.04473945125937462,0.0642862617969513,0.0027466239407658577,0.002910199347932868,0.004331676513990128,0.00044472303588685377,0.04391360245804177,0.08573905282993773,0.002097066328336507,0.13916228711605072,0.2633669078350067,0.007980468682944775,2258.637707460209,2259.9178328020266,2256.0333991801394,179.64231654756176,178.91265056370892,176.8063999475414,0.0,0.0,0.0,2253.6060280582315,172.54530132029018,0,2262.0,2290.0,2223.0,196.0,191.0,186.0,0.0,0.0,0.0,10
1,11,61785,3758.0,215.0,1.0,1.6250500614302492,0.9204170034557806,1.0,0.4277258566978193,0.33289984792763533,469.8732255701811,474.43650787012587,90.07774419910837,32.125390247420135,28.178005607210743,197.8975174412651,183.6913110202775,27.356767738766404,1527.177999999994,0.8927049168484776,0.34502444366996743,0.062356528268381235,0.12904525778129675,0.08171456998300465,0.02154551436329308,0.01660828401161351,0.04376853656889049,0.05155921237783208,0.02900439543066783,0.008778892240886814,0.006167244088513357,0.0011442312719361508,0.02698772815327149,0.010898784806951231,0.022754381716258668,0.008104813485242415,0.0037179302701909212,0.011086675830537403,0.007370508542112858,0.007975774680868486,0.0019069484152444164,0.006111706102898423,0.005071809223498813,0.00806852514692407,0.0027728095284374776,0.006024099477855577,0.006484883827297521,0.00997362620254848,0.010151196078753444,0.008357578706157304,81.97985815629363,95.6255894228816,7.004364184802398,5139.365855094045,6089.175621010363,405.11531831976026,0.06721599400043488,0.07660029083490372,0.0045014116913080215,0.014984361827373505,0.018280304968357086,0.0018310826271772385,4.177219949168412,4.838307570840088,30.011054523715938,0.1104447990655899,0.11979857832193375,0.01110856793820858,0.143266960978508,0.15541313588619232,0.014755474403500557,0.06563639564154815,0.07656172091503731,0.005607977730025939,0.08318144946336563,0.09855427079404974,0.00655685552026803,0.0790417343378067,0.09095902740955353,0.0061036087572574615,0.040634773671627045,0.0646066963672638,0.0022583352401852608,0.040634773671627045,0.0642710030078888,0.002166781108826399,0.01458280562628052,0.015049056374662605,0.0021046532906254965,0.02145181535589054,0.02446420516933344,0.0025443247566309894,0.09884794056415558,0.12062256783246994,0.008331426419317722,3676.9781789621693,3676.679980637967,3653.179174251238,174.83119417238595,172.308020081236,163.2756222063728,0.0,0.0,0.0,3681.113959698956,174.24426640770415,0,3674.0,3599.0,3571.0,160.0,150.0,113.0,0.0,0.0,0.0,11
1,12,33819,3201.0,230.0,1.0,1.0052497798748312,0.27762131931097805,1.0,0.7150801370152662,0.7072232723402394,211.7472222184318,223.8972978845435,98.60020283954795,33.79498621207241,29.698484809834994,204.07617242282006,203.42356311096134,68.7212873338929,775.1879999999975,0.9651954278864675,0.8383994185276826,0.029840510642464492,0.1296759196958623,0.014949433386353315,0.016560423444059065,0.02302308138097161,0.07947620879523536,0.009181582584070765,0.009560092061997564,0.004305112486820841,0.007664436326953724,0.002706027888681255,0.030618036200388297,0.003737998194963073,0.006040383591662555,0.00395401517277416,0.007641173409078805,0.0031540241879801484,0.00238241020969605,0.006324720468791935,0.0016468585280045597,0.0034171833501354405,0.006749875597514387,0.001569652387145645,0.004264577505384742,0.00812879331564301,0.006511125062036101,0.0038319874295337226,0.000957484009182058,0.0031980099037758683,36.67823305726051,48.067826397717,3.00495924660936,3732.7510372661054,4976.034946665168,198.50677121453919,0.08045700937509537,0.11880674213171005,0.004943923093378544,0.025024794042110443,0.029541470110416412,0.0007476918399333954,3.693422816178739,0.8653551241632493,1.5202587706244548,0.06642252206802368,0.0956893265247345,0.006271458230912685,0.2379491925239563,0.251743346452713,0.037369344383478165,0.05616881019488593,0.07361076018027106,0.0046017752628014705,0.11037437645306204,0.14713725854298376,0.005869681871567438,0.11284046620130539,0.14744792878627777,0.005615320056676865,0.04460212215781212,0.06480506807565689,0.003082322422415018,0.04460212215781212,0.06480506807565689,0.0029755092691630125,0.004327750674401681,0.007825996593921566,0.0005841783544328988,0.03579255325809437,0.03988020954046779,0.0015015492449619355,0.13440528512001038,0.1780308187007904,0.0064850845374166965,3198.209634187352,3200.9449276701375,3203.268457761387,228.3868239466433,229.15013374115767,228.80310244945665,0.0,0.0,0.0,3201.8072385345517,229.2226559034862,0,3254.0,3254.0,3248.0,201.0,220.0,216.0,0.0,0.0,0.0,12
1,13,17,4095.0,244.0,1.0,1.342834230111656,0.8445144938620825,1.0,0.6071428571428571,0.5490105976878314,6.817737222472253,6.082762530298219,1.4142135623730951,1.0974620146760226,1.0,3.0,3.6511212028293363,-85.02971348344347,19.726,0.8292682926829268,0.5850019529864262,0.11880284126441876,0.0771942163718178,0.10562118128894853,0.06284165734836047,0.015137041551064939,0.010079739747671434,0.024596108496903146,0.06944070802851335,0.006558144947185416,0.004450612544498211,0.007029240425433103,0.07615207033333765,0.08384246064383569,0.05896385615344605,0.059351399526976704,0.012159021202085162,0.02342979623572433,0.0007857175650717726,0.025051490485168835,0.07506684887630392,0.08444579200041259,0.08285982785722841,0.08943273377028828,0.07231979403705677,0.007956471370201302,0.017906672196737906,0.023242578752403924,0.046122268552060565,0.0007288658982300612,0.4904707446694374,0.9038223847746849,0.040985732804983854,0.6386053301393986,1.176272228360176,0.05258258944377303,0.036629282869398594,0.06816205382347107,0.0030212863348424435,0.0010605007410049438,0.0011367946863174438,0.00010681315325200558,0.0019401282506612283,0.0029972038650694995,0.017499872752632425,0.03949034959077835,0.07246509194374084,0.0034485389478504658,0.03949034959077835,0.07246509194374084,0.0034485389478504658,0.037728518820725955,0.06952479882882191,0.0031527486773064504,0.037565019419964624,0.06919248402118683,0.003093093496692531,0.03780422732234001,0.06975661963224411,0.003128099488094449,0.03547722473740578,0.06655985116958618,0.0025787746999412775,0.03547722473740578,0.06617838144302368,0.0025787746999412775,0.0010734612399133057,0.00151822172619848,0.0002025698728198731,0.0011905401148328556,0.0016170412074748976,0.00022326716206315755,0.03854810353368521,0.07050430774688721,0.00325780117418617,4094.8824878592336,4094.885090870916,4094.898142774231,244.99806456858894,245.00121941451152,244.9924550203134,0.0,0.0,0.0,4094.8823529411766,245.0,0,4096.0,4094.0,4094.0,243.0,243.0,246.0,0.0,0.0,0.0,13
